epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.085,1.44564,1.31168,1.22834,0.57445,0.53011,0.54321,0.22807,1.60149,1.5803,1.33337,0.000999685,0.000999685,0.000999685
2,617.413,1.51684,1.12757,1.32898,0.61141,0.61216,0.59976,0.29709,1.62347,1.3908,1.33413,0.00198169,0.00198169,0.00198169
3,921.244,1.50254,1.08967,1.33539,0.87235,0.70478,0.79995,0.42273,1.5521,1.18207,1.40076,0.001964,0.001964,0.001964
4,1226.25,1.50334,1.0343,1.38131,0.89186,0.67654,0.79699,0.43073,1.52911,1.14962,1.43406,0.001946,0.001946,0.001946
5,1531.38,1.4811,0.97867,1.35716,0.80402,0.68018,0.79089,0.4211,1.52545,1.12146,1.4602,0.001928,0.001928,0.001928
6,1837.86,1.44948,0.93919,1.33796,0.85978,0.75626,0.84073,0.47916,1.43134,1.00361,1.39476,0.00191,0.00191,0.00191
7,2145.06,1.44229,0.92453,1.34494,0.8467,0.76241,0.83826,0.49483,1.41094,1.00129,1.39302,0.001892,0.001892,0.001892
8,2452.03,1.41062,0.85083,1.31493,0.89503,0.78952,0.87378,0.53417,1.3733,0.86834,1.36707,0.001874,0.001874,0.001874
9,2760.85,1.39849,0.83171,1.31369,0.90048,0.81048,0.8875,0.5182,1.37822,0.85819,1.38466,0.001856,0.001856,0.001856
10,3069.27,1.40846,0.81979,1.31545,0.90384,0.82779,0.88893,0.52005,1.40766,0.88976,1.40073,0.001838,0.001838,0.001838
11,3383.34,1.37704,0.80663,1.30072,0.91015,0.82278,0.89524,0.5266,1.35181,0.85467,1.3638,0.00182,0.00182,0.00182
12,3695.31,1.38032,0.77459,1.30154,0.91467,0.84481,0.90236,0.53762,1.34499,0.814,1.3565,0.001802,0.001802,0.001802
13,4006.44,1.35508,0.77036,1.28468,0.92202,0.83645,0.90387,0.54671,1.33626,0.8113,1.35184,0.001784,0.001784,0.001784
14,4317.78,1.36203,0.75423,1.27917,0.90244,0.84055,0.90167,0.53814,1.38134,0.77103,1.35842,0.001766,0.001766,0.001766
15,4623.21,1.35918,0.7497,1.28689,0.93083,0.85831,0.9138,0.55043,1.34901,0.74222,1.35384,0.001748,0.001748,0.001748
16,4936.21,1.34948,0.73042,1.27333,0.94291,0.87288,0.92113,0.56896,1.33593,0.74444,1.32939,0.00173,0.00173,0.00173
17,5239.7,1.33979,0.70543,1.26819,0.94001,0.86879,0.92082,0.55449,1.3522,0.73193,1.34902,0.001712,0.001712,0.001712
18,5546.29,1.33581,0.71745,1.26096,0.94631,0.8672,0.91756,0.56136,1.32793,0.70942,1.33082,0.001694,0.001694,0.001694
19,5854.39,1.33369,0.73075,1.25803,0.93779,0.87214,0.92087,0.56435,1.34442,0.7235,1.33333,0.001676,0.001676,0.001676
20,6166.3,1.31961,0.69631,1.24845,0.96431,0.88631,0.9309,0.56082,1.33319,0.70911,1.32827,0.001658,0.001658,0.001658
21,6479.09,1.32366,0.70174,1.25625,0.96342,0.87244,0.92695,0.57961,1.30391,0.71217,1.31784,0.00164,0.00164,0.00164
22,6784.9,1.313,0.69636,1.24582,0.95316,0.88929,0.93034,0.58905,1.278,0.68012,1.29135,0.001622,0.001622,0.001622
23,7094.18,1.30573,0.69287,1.24591,0.95936,0.88519,0.9326,0.58603,1.28828,0.68654,1.3077,0.001604,0.001604,0.001604
24,7401.13,1.31374,0.68005,1.24546,0.95675,0.88694,0.93558,0.58186,1.30151,0.67441,1.31526,0.001586,0.001586,0.001586
25,7708.28,1.31107,0.66328,1.24086,0.96311,0.88008,0.93271,0.58221,1.294,0.65843,1.30317,0.001568,0.001568,0.001568
26,8010.38,1.30231,0.67097,1.23812,0.96042,0.88838,0.93931,0.59489,1.28282,0.65174,1.31101,0.00155,0.00155,0.00155
27,8316.04,1.29363,0.64448,1.23231,0.96454,0.88929,0.93803,0.58209,1.31618,0.64297,1.3297,0.001532,0.001532,0.001532
28,8620.47,1.27866,0.64509,1.22272,0.96426,0.8861,0.934,0.57382,1.3074,0.65479,1.32258,0.001514,0.001514,0.001514
29,8921.23,1.28591,0.63195,1.22825,0.97593,0.89476,0.94273,0.59426,1.29408,0.62732,1.30628,0.001496,0.001496,0.001496
30,9225.56,1.27207,0.61886,1.22051,0.96724,0.90205,0.94244,0.58864,1.30432,0.64163,1.31923,0.001478,0.001478,0.001478
31,9534.22,1.27689,0.61989,1.21858,0.97934,0.90023,0.94628,0.59135,1.28579,0.62757,1.30808,0.00146,0.00146,0.00146
32,9837.02,1.25956,0.61568,1.21587,0.96503,0.90515,0.94292,0.59757,1.28197,0.61473,1.3005,0.001442,0.001442,0.001442
33,10138.2,1.26304,0.61799,1.21146,0.96346,0.90797,0.94687,0.59457,1.28297,0.62311,1.29765,0.001424,0.001424,0.001424
34,10440.5,1.24983,0.61124,1.20546,0.9777,0.89888,0.94783,0.59881,1.28635,0.61545,1.29773,0.001406,0.001406,0.001406
35,10748.1,1.26051,0.60565,1.21068,0.97334,0.89805,0.94567,0.5911,1.29,0.60639,1.31009,0.001388,0.001388,0.001388
36,11056,1.24437,0.59246,1.20259,0.97072,0.89658,0.94365,0.5979,1.27589,0.61007,1.28781,0.00137,0.00137,0.00137
37,11365.4,1.24477,0.59218,1.20392,0.97727,0.90095,0.94709,0.60111,1.26768,0.59773,1.2843,0.001352,0.001352,0.001352
38,11674.3,1.24356,0.58775,1.19713,0.96789,0.90114,0.94346,0.60953,1.26069,0.59703,1.27834,0.001334,0.001334,0.001334
39,11981.4,1.23601,0.5874,1.20059,0.97399,0.90411,0.94607,0.60939,1.2669,0.59743,1.28475,0.001316,0.001316,0.001316
40,12300.6,1.22131,0.57702,1.18825,0.97878,0.90348,0.94905,0.59778,1.29265,0.60469,1.30379,0.001298,0.001298,0.001298
41,12608.8,1.21988,0.57139,1.18645,0.98024,0.90384,0.94571,0.59951,1.28921,0.59553,1.29982,0.00128,0.00128,0.00128
42,12918.1,1.22632,0.57322,1.19181,0.9699,0.91016,0.95234,0.61176,1.27342,0.57266,1.28968,0.001262,0.001262,0.001262
43,13226.4,1.22926,0.57223,1.19364,0.97654,0.89932,0.94894,0.60001,1.29258,0.59242,1.31048,0.001244,0.001244,0.001244
44,13534.1,1.21523,0.5693,1.18755,0.96685,0.90706,0.95021,0.61136,1.27001,0.58146,1.28637,0.001226,0.001226,0.001226
45,13841.3,1.21806,0.56843,1.19066,0.97968,0.90387,0.94962,0.61192,1.26648,0.58111,1.27965,0.001208,0.001208,0.001208
46,14151.7,1.21041,0.56723,1.18604,0.97433,0.90068,0.94852,0.61101,1.26226,0.58143,1.28031,0.00119,0.00119,0.00119
47,14462.4,1.21731,0.56662,1.1866,0.98001,0.90159,0.95102,0.62196,1.23765,0.57604,1.26397,0.001172,0.001172,0.001172
48,14768.7,1.20199,0.55276,1.18031,0.97491,0.89932,0.94817,0.61541,1.24691,0.58705,1.27054,0.001154,0.001154,0.001154
49,15076.1,1.20178,0.55266,1.17887,0.97266,0.90706,0.94834,0.61557,1.23872,0.57277,1.26208,0.001136,0.001136,0.001136
50,15379,1.19354,0.55174,1.17036,0.97224,0.90478,0.95124,0.6272,1.22672,0.56428,1.25188,0.001118,0.001118,0.001118
51,15686.3,1.20063,0.54515,1.17667,0.97792,0.90799,0.95203,0.61764,1.25027,0.56736,1.27187,0.0011,0.0011,0.0011
52,15987,1.18773,0.53832,1.16722,0.96892,0.89932,0.94569,0.62109,1.22222,0.57787,1.24718,0.001082,0.001082,0.001082
53,16287.2,1.18862,0.54064,1.1714,0.986,0.8982,0.95172,0.62026,1.24503,0.56145,1.26336,0.001064,0.001064,0.001064
54,16588,1.18903,0.54,1.16815,0.9746,0.90902,0.94961,0.6297,1.22189,0.56123,1.25842,0.001046,0.001046,0.001046
55,16886.7,1.18457,0.53389,1.16269,0.96995,0.91175,0.95206,0.62104,1.24247,0.56785,1.26604,0.001028,0.001028,0.001028
56,17186.2,1.17524,0.52799,1.16705,0.97675,0.91344,0.95286,0.62473,1.23984,0.56459,1.26228,0.00101,0.00101,0.00101
57,17487.2,1.17271,0.52634,1.15991,0.97401,0.90205,0.9488,0.6158,1.24277,0.5693,1.26857,0.000992,0.000992,0.000992
58,17788.7,1.17046,0.5284,1.15726,0.97887,0.90764,0.95092,0.63085,1.2202,0.55645,1.24768,0.000974,0.000974,0.000974
59,18090.5,1.16167,0.52516,1.15484,0.96885,0.90699,0.94757,0.62677,1.21683,0.54838,1.24686,0.000956,0.000956,0.000956
60,18391.5,1.16839,0.52209,1.15916,0.96844,0.90869,0.95103,0.63608,1.21055,0.5475,1.24234,0.000938,0.000938,0.000938
61,18692.6,1.15422,0.51803,1.15028,0.95665,0.89522,0.94152,0.61639,1.23806,0.56438,1.26186,0.00092,0.00092,0.00092
62,18995.7,1.1605,0.51474,1.1543,0.97837,0.90657,0.95041,0.62848,1.21595,0.54087,1.24613,0.000902,0.000902,0.000902
63,19302.5,1.15723,0.5131,1.1504,0.96023,0.90661,0.94725,0.62886,1.20828,0.54087,1.23664,0.000884,0.000884,0.000884
64,19603.4,1.14803,0.51121,1.14178,0.96846,0.88838,0.94741,0.61727,1.24878,0.56263,1.26934,0.000866,0.000866,0.000866
65,19902.7,1.14858,0.50631,1.14389,0.97458,0.9082,0.9535,0.63697,1.21291,0.53982,1.24068,0.000848,0.000848,0.000848
66,20201.5,1.15375,0.50446,1.14223,0.98275,0.90068,0.95406,0.64709,1.2036,0.54557,1.23601,0.00083,0.00083,0.00083
67,20501.1,1.14443,0.50089,1.14637,0.97741,0.90205,0.94973,0.6438,1.1997,0.53302,1.23702,0.000812,0.000812,0.000812
68,20801.4,1.14301,0.50132,1.14271,0.97728,0.90142,0.95076,0.63671,1.21564,0.55283,1.24188,0.000794,0.000794,0.000794
69,21101,1.13969,0.49973,1.13573,0.97927,0.90375,0.94977,0.64653,1.20045,0.53857,1.23395,0.000776,0.000776,0.000776
70,21404.1,1.14061,0.49705,1.13916,0.97925,0.90309,0.95071,0.63815,1.21395,0.54416,1.24607,0.000758,0.000758,0.000758
71,21709.9,1.13348,0.49083,1.13559,0.98338,0.90068,0.9516,0.64333,1.20387,0.54216,1.2421,0.00074,0.00074,0.00074
