epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.471,1.09502,3.52801,1.07626,0.92741,0.26554,0.3022,0.19704,1.18207,1.84937,1.11047,8.32126e-05,8.32126e-05,8.32126e-05
2,192.5,1.09217,1.9369,1.10122,0.87566,0.38608,0.49144,0.34498,1.07169,1.07844,1.08997,0.000165447,0.000165447,0.000165447
3,276.253,1.09636,1.33872,1.1104,0.74826,0.59107,0.68226,0.49622,1.02364,0.83872,1.06565,0.000246581,0.000246581,0.000246581
4,358.899,1.08837,1.09203,1.09998,0.69931,0.77231,0.78014,0.57211,0.97754,0.73019,1.04589,0.00024505,0.00024505,0.00024505
5,441.451,1.07424,0.95317,1.09217,0.82722,0.80151,0.85633,0.63272,0.96849,0.6783,1.02946,0.0002434,0.0002434,0.0002434
6,524.749,1.04149,0.84642,1.06978,0.86166,0.85445,0.91045,0.66286,0.97795,0.63009,1.03041,0.00024175,0.00024175,0.00024175
7,606.508,1.05237,0.79425,1.07846,0.89954,0.86623,0.92444,0.67388,0.98417,0.60973,1.02102,0.0002401,0.0002401,0.0002401
8,689.387,1.03431,0.75776,1.06824,0.89912,0.90285,0.94451,0.68411,0.99001,0.5843,1.01884,0.00023845,0.00023845,0.00023845
9,773.112,1.02308,0.72834,1.06343,0.91052,0.9046,0.95022,0.6995,0.96051,0.57249,1.01781,0.0002368,0.0002368,0.0002368
10,856.787,1.00677,0.69333,1.05571,0.91263,0.92872,0.95477,0.70194,0.94979,0.55214,1.01331,0.00023515,0.00023515,0.00023515
11,941.873,1.00453,0.66614,1.0501,0.93187,0.94266,0.96489,0.71107,0.94805,0.53398,1.01144,0.0002335,0.0002335,0.0002335
12,1025.57,0.99572,0.64448,1.04759,0.93504,0.92371,0.96269,0.71263,0.94205,0.53017,1.01092,0.00023185,0.00023185,0.00023185
13,1109.3,0.99303,0.62522,1.04693,0.95963,0.92894,0.96965,0.71539,0.9559,0.51534,1.01235,0.0002302,0.0002302,0.0002302
14,1193.35,0.9915,0.61159,1.05043,0.95673,0.92496,0.9694,0.71221,0.9687,0.52607,1.01709,0.00022855,0.00022855,0.00022855
15,1277.01,0.98842,0.60341,1.0486,0.95209,0.95094,0.97144,0.70425,0.99996,0.52549,1.0347,0.0002269,0.0002269,0.0002269
16,1365.18,0.98901,0.59622,1.04731,0.95712,0.94937,0.97347,0.7116,0.98077,0.5065,1.0221,0.00022525,0.00022525,0.00022525
